API,Description,Example
"tf.experimental.dispatch_for_unary_elementwise_apis(
    x_type
)
",[],"class MaskedTensor(tf.experimental.ExtensionType):
  values: tf.Tensor
  mask: tf.Tensor
@dispatch_for_unary_elementwise_apis(MaskedTensor)
def unary_elementwise_api_handler(api_func, x):
  return MaskedTensor(api_func(x.values), x.mask)
mt = MaskedTensor([1, -2, -3], [True, False, True])
abs_mt = tf.abs(mt)
print(f""values={abs_mt.values.numpy()}, mask={abs_mt.mask.numpy()}"")
values=[1 2 3], mask=[ True False True]"
"tf.experimental.dlpack.from_dlpack(
    dlcapsule
)
",[],"  a = tf.experimental.dlpack.from_dlpack(dlcapsule)
  # `a` uses the memory shared by dlpack
"
"tf.experimental.dlpack.to_dlpack(
    tf_tensor
)
",[],"  a = tf.tensor([1, 10])
  dlcapsule = tf.experimental.dlpack.to_dlpack(a)
  # dlcapsule represents the dlpack data structure
"
"tf.experimental.dtensor.DTensorCheckpoint(
    mesh: tf.experimental.dtensor.Mesh,
    root=None,
    **kwargs
)
","[['Inherits From: ', 'Checkpoint']]","read(
    save_path, options=None
)
"
"tf.experimental.dtensor.DTensorDataset(
    dataset: tf.data.Dataset,
    *,
    mesh: tf.experimental.dtensor.Mesh,
    layouts: Any,
    global_batch_size: int,
    dataset_already_batched: bool = False,
    batch_dim: Optional[str] = None,
    prefetch: Optional[int] = None,
    tf_data_service_config: Optional[TFDataServiceConfig] = None
)
","[['Inherits From: ', 'Dataset']]","dataset = tf.data.Dataset.from_tensor_slices([1, 2, 3])
dataset.element_spec
TensorSpec(shape=(), dtype=tf.int32, name=None)"
"tf.experimental.dtensor.DVariable(
    initial_value, *args, dtype=None, **kwargs
)
","[[None, '\n'], ['Inherits From: ', 'Variable', ', ', 'Variable']]","assign(
    value, use_locking=None, name=None, read_value=True
)
"
"tf.Variable.SaveSliceInfo(
    full_name=None,
    full_shape=None,
    var_offset=None,
    var_shape=None,
    save_slice_info_def=None,
    import_scope=None
)
",[],"to_proto(
    export_scope=None
)
"
"tf.experimental.dtensor.Layout(
    sharding_specs: List[str],
    mesh: tf.experimental.dtensor.Mesh
)
",[],"Mesh([""TPU:0"", ""TPU:1"", ""TPU:2"", ""TPU:3"", ""TPU:4"", ""TPU:5""], [(""x"", 6)])
"
"tf.experimental.dtensor.Mesh(
    dim_names: List[str],
    global_device_ids: np.ndarray,
    local_device_ids: List[int],
    local_devices: List[tf.compat.v1.DeviceSpec],
    mesh_name: str = '',
    global_devices: Optional[List[tf_device.DeviceSpec]] = None
)
",[],"[(device_id / (b*c*d)) % a,
 (device_id / (c*d))   % b,
 (device_id / (d))     % c,
 (device_id)           % d]
"
"tf.experimental.dtensor.barrier(
    mesh: tf.experimental.dtensor.Mesh,
    barrier_name: Optional[str] = None
)
",[],"
x = [1, 2, 3]
x = dtensor.relayout(x, dtensor.Layout.batch_sharded(mesh, 'batch', 1))
dtensor.barrier(mesh)

# At this point all devices on all clients in the mesh have completed
# operations before the barrier. Therefore it is OK to tear down the clients.
sys.exit()
"
"tf.experimental.dtensor.call_with_layout(
    fn: Callable[..., Any],
    layout: Optional[tf.experimental.dtensor.Layout],
    *args,
    **kwargs
) -> Any
","[['Calls a function in the DTensor device scope if ', 'layout', ' is not None.']]",[]
"tf.experimental.dtensor.check_layout(
    tensor: tf.Tensor,
    layout: tf.experimental.dtensor.Layout
) -> None
","[['Asserts that the layout of the DTensor is ', 'layout', '.']]",[]
"tf.experimental.dtensor.client_id() -> int
",[],[]
"tf.experimental.dtensor.copy_to_mesh(
    tensor: Any,
    layout: tf.experimental.dtensor.Layout,
    source_layout: Optional[tf.experimental.dtensor.Layout] = None
) -> tf.Tensor
",[],[]
"tf.experimental.dtensor.create_distributed_mesh(
    mesh_dims: List[Tuple[str, int]],
    mesh_name: str = '',
    local_devices: Optional[List[str]] = None,
    device_type: Optional[str] = None
) -> tf.experimental.dtensor.Mesh
",[],[]
"tf.experimental.dtensor.create_mesh(
    mesh_dims: Optional[List[Tuple[str, int]]] = None,
    mesh_name: str = '',
    devices: Optional[List[str]] = None,
    device_type: Optional[str] = None
) -> tf.experimental.dtensor.Mesh
",[],[]
"tf.experimental.dtensor.create_tpu_mesh(
    mesh_dim_names: List[str],
    mesh_shape: List[int],
    mesh_name: str,
    ring_dims: Optional[int] = None,
    ring_axes: Optional[List[str]] = None,
    ring_bounds: Optional[List[int]] = None,
    can_split_host_across_rings: bool = True,
    build_ring_across_rings: bool = False,
    rotate_ring_across_rings: bool = False
) -> tf.experimental.dtensor.Mesh
",[],[]
"tf.experimental.dtensor.device_name() -> str
",[],"import tensorflow as tf

with tf.device(dtensor.device_name()):
  # ...
"
"tf.experimental.dtensor.enable_save_as_bf16(
    variables: List[tf.Variable]
)
",[],[]
"tf.experimental.dtensor.fetch_layout(
    tensor: tf.Tensor
) -> tf.experimental.dtensor.Layout
",[],[]
"tf.experimental.dtensor.full_job_name(
    task_id: Optional[int] = None
) -> str
",[],[]
"tf.experimental.dtensor.heartbeat_enabled() -> bool
",[],[]
"tf.experimental.dtensor.initialize_accelerator_system(
    device_type: Optional[str] = None,
    enable_coordination_service: Optional[bool] = False
) -> str
",[],[]
"tf.experimental.dtensor.initialize_accelerator_system(
    device_type: Optional[str] = None,
    enable_coordination_service: Optional[bool] = False
) -> str
",[],[]
"tf.experimental.dtensor.initialize_accelerator_system(
    device_type: Optional[str] = None,
    enable_coordination_service: Optional[bool] = False
) -> str
",[],[]
"tf.experimental.dtensor.job_name() -> str
",[],[]
"tf.experimental.dtensor.jobs() -> List[str]
",[],[]
"tf.experimental.dtensor.local_devices(
    device_type: str, for_client_id: Optional[int] = None
) -> List[tf.compat.v1.DeviceSpec]
",[],[]
"tf.experimental.dtensor.name_based_restore(
    mesh: tf.experimental.dtensor.Mesh,
    checkpoint_prefix: str,
    name_tensor_dict: Dict[str, Union[ops.Tensor, tf_variables.Variable]]
)
",[],[]
"tf.experimental.dtensor.name_based_save(
    mesh: tf.experimental.dtensor.Mesh,
    checkpoint_prefix: Union[str, tf.Tensor],
    name_tensor_dict: Dict[str, Union[ops.Tensor, tf_variables.Variable]]
)
",[],[]
"tf.experimental.dtensor.num_clients() -> int
",[],[]
"tf.experimental.dtensor.num_global_devices(
    device_type: str
) -> int
",[],[]
"tf.experimental.dtensor.num_local_devices(
    device_type: str
) -> int
",[],[]
"tf.experimental.dtensor.pack(
    tensors: Sequence[Any],
    layout: tf.experimental.dtensor.Layout
) -> Any
","[['Packs ', 'tf.Tensor', ' components into a DTensor.']]","* unpack(pack(tensors)) == tensors
* pack(unpack(dtensor)) == dtensor
"
"tf.experimental.dtensor.preferred_device_type() -> str
",[],[]
"tf.experimental.dtensor.relayout(
    tensor: tf.Tensor,
    layout: tf.experimental.dtensor.Layout
) -> tf.Tensor
","[['Changes the layout of ', 'tensor', '.']]",[]
"tf.experimental.dtensor.sharded_save(
    mesh: tf.experimental.dtensor.Mesh,
    file_prefix: Union[str, tf.Tensor],
    tensor_names: Union[List[str], tf.Tensor],
    shape_and_slices: Union[List[str], tf.Tensor],
    tensors: List[Union[ops.Tensor, tf_variables.Variable]]
)
",[],[]
"tf.experimental.dtensor.shutdown_accelerator_system() -> None
",[],[]
"tf.experimental.dtensor.shutdown_accelerator_system() -> None
",[],[]
"tf.experimental.dtensor.unpack(
    tensor: Any
) -> Sequence[Any]
","[['Unpacks a DTensor into ', 'tf.Tensor', ' components.']]","* unpack(pack(tensors)) == tensors
* pack(unpack(dtensor)) == dtensor
"
"tf.experimental.numpy.abs(
    x
)
","[[""TensorFlow variant of NumPy's "", 'abs', '.']]",[]
"tf.experimental.numpy.absolute(
    x
)
","[[""TensorFlow variant of NumPy's "", 'absolute', '.']]",[]
"tf.experimental.numpy.add(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'add', '.']]",[]
"tf.experimental.numpy.all(
    a, axis=None, keepdims=None
)
","[[""TensorFlow variant of NumPy's "", 'all', '.']]",[]
"tf.experimental.numpy.allclose(
    a, b, rtol=1e-05, atol=1e-08, equal_nan=False
)
","[[""TensorFlow variant of NumPy's "", 'allclose', '.']]",[]
"tf.experimental.numpy.amax(
    a, axis=None, out=None, keepdims=None
)
","[[""TensorFlow variant of NumPy's "", 'amax', '.']]",[]
"tf.experimental.numpy.amin(
    a, axis=None, out=None, keepdims=None
)
","[[""TensorFlow variant of NumPy's "", 'amin', '.']]",[]
"tf.experimental.numpy.angle(
    z, deg=False
)
","[[""TensorFlow variant of NumPy's "", 'angle', '.']]",[]
"tf.experimental.numpy.any(
    a, axis=None, keepdims=None
)
","[[""TensorFlow variant of NumPy's "", 'any', '.']]",[]
"tf.experimental.numpy.append(
    arr, values, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'append', '.']]",[]
"tf.experimental.numpy.arange(
    start, stop=None, step=1, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'arange', '.']]",[]
"tf.experimental.numpy.arccos(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arccos', '.']]",[]
"tf.experimental.numpy.arccosh(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arccosh', '.']]",[]
"tf.experimental.numpy.arcsin(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arcsin', '.']]",[]
"tf.experimental.numpy.arcsinh(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arcsinh', '.']]",[]
"tf.experimental.numpy.arctan(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arctan', '.']]",[]
"tf.experimental.numpy.arctan2(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'arctan2', '.']]",[]
"tf.experimental.numpy.arctanh(
    x
)
","[[""TensorFlow variant of NumPy's "", 'arctanh', '.']]",[]
"tf.experimental.numpy.argmax(
    a, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'argmax', '.']]",[]
"tf.experimental.numpy.argmin(
    a, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'argmin', '.']]",[]
"tf.experimental.numpy.argsort(
    a, axis=-1, kind='quicksort', order=None
)
","[[""TensorFlow variant of NumPy's "", 'argsort', '.']]",[]
"tf.experimental.numpy.around(
    a, decimals=0
)
","[[""TensorFlow variant of NumPy's "", 'around', '.']]",[]
"tf.experimental.numpy.array(
    val, dtype=None, copy=True, ndmin=0
)
","[[""TensorFlow variant of NumPy's "", 'array', '.']]",[]
"tf.experimental.numpy.array_equal(
    a1, a2
)
","[[""TensorFlow variant of NumPy's "", 'array_equal', '.']]",[]
"tf.experimental.numpy.asanyarray(
    a, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'asanyarray', '.']]",[]
"tf.experimental.numpy.asarray(
    a, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'asarray', '.']]",[]
"tf.experimental.numpy.ascontiguousarray(
    a, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'ascontiguousarray', '.']]",[]
"tf.experimental.numpy.atleast_1d(
    *arys
)
","[[""TensorFlow variant of NumPy's "", 'atleast_1d', '.']]",[]
"tf.experimental.numpy.atleast_2d(
    *arys
)
","[[""TensorFlow variant of NumPy's "", 'atleast_2d', '.']]",[]
"tf.experimental.numpy.atleast_3d(
    *arys
)
","[[""TensorFlow variant of NumPy's "", 'atleast_3d', '.']]",[]
"tf.experimental.numpy.average(
    a, axis=None, weights=None, returned=False
)
","[[""TensorFlow variant of NumPy's "", 'average', '.']]",[]
"tf.experimental.numpy.bitwise_and(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'bitwise_and', '.']]",[]
"tf.experimental.numpy.bitwise_not(
    x
)
","[[""TensorFlow variant of NumPy's "", 'bitwise_not', '.']]",[]
"tf.experimental.numpy.bitwise_or(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'bitwise_or', '.']]",[]
"tf.experimental.numpy.bitwise_xor(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'bitwise_xor', '.']]",[]
"tf.experimental.numpy.bool_(
    *args, **kwargs
)
",[],"all()
"
"tf.experimental.numpy.broadcast_arrays(
    *args, **kwargs
)
","[[""TensorFlow variant of NumPy's "", 'broadcast_arrays', '.']]",[]
"tf.experimental.numpy.broadcast_to(
    array, shape
)
","[[""TensorFlow variant of NumPy's "", 'broadcast_to', '.']]",[]
"tf.experimental.numpy.cbrt(
    x
)
","[[""TensorFlow variant of NumPy's "", 'cbrt', '.']]",[]
"tf.experimental.numpy.ceil(
    x
)
","[[""TensorFlow variant of NumPy's "", 'ceil', '.']]",[]
"tf.experimental.numpy.clip(
    a, a_min, a_max
)
","[[""TensorFlow variant of NumPy's "", 'clip', '.']]",[]
"tf.experimental.numpy.complex128(
    *args, **kwargs
)
","[['Inherits From: ', 'inexact']]","all()
"
"tf.experimental.numpy.complex64(
    *args, **kwargs
)
","[['Inherits From: ', 'inexact']]","all()
"
"tf.experimental.numpy.complex128(
    *args, **kwargs
)
","[['Inherits From: ', 'inexact']]","all()
"
"tf.experimental.numpy.compress(
    condition, a, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'compress', '.']]",[]
"tf.experimental.numpy.concatenate(
    arys, axis=0
)
","[[""TensorFlow variant of NumPy's "", 'concatenate', '.']]",[]
"tf.experimental.numpy.conj(
    x
)
","[[""TensorFlow variant of NumPy's "", 'conj', '.']]",[]
"tf.experimental.numpy.conjugate(
    x
)
","[[""TensorFlow variant of NumPy's "", 'conjugate', '.']]",[]
"tf.experimental.numpy.copy(
    a
)
","[[""TensorFlow variant of NumPy's "", 'copy', '.']]",[]
"tf.experimental.numpy.cos(
    x
)
","[[""TensorFlow variant of NumPy's "", 'cos', '.']]",[]
"tf.experimental.numpy.cosh(
    x
)
","[[""TensorFlow variant of NumPy's "", 'cosh', '.']]",[]
"tf.experimental.numpy.count_nonzero(
    a, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'count_nonzero', '.']]",[]
"tf.experimental.numpy.cross(
    a, b, axisa=-1, axisb=-1, axisc=-1, axis=None
)
","[[""TensorFlow variant of NumPy's "", 'cross', '.']]",[]
"tf.experimental.numpy.cumprod(
    a, axis=None, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'cumprod', '.']]",[]
"tf.experimental.numpy.cumsum(
    a, axis=None, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'cumsum', '.']]",[]
"tf.experimental.numpy.deg2rad(
    x
)
","[[""TensorFlow variant of NumPy's "", 'deg2rad', '.']]",[]
"tf.experimental.numpy.diag(
    v, k=0
)
","[[""TensorFlow variant of NumPy's "", 'diag', '.']]",[]
"tf.experimental.numpy.diag_indices(
    n, ndim=2
)
","[[""TensorFlow variant of NumPy's "", 'diag_indices', '.']]",[]
"tf.experimental.numpy.diagflat(
    v, k=0
)
","[[""TensorFlow variant of NumPy's "", 'diagflat', '.']]",[]
"tf.experimental.numpy.diagonal(
    a, offset=0, axis1=0, axis2=1
)
","[[""TensorFlow variant of NumPy's "", 'diagonal', '.']]",[]
"tf.experimental.numpy.diff(
    a, n=1, axis=-1
)
","[[""TensorFlow variant of NumPy's "", 'diff', '.']]",[]
"tf.experimental.numpy.divide(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'divide', '.']]",[]
"tf.experimental.numpy.divmod(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'divmod', '.']]",[]
"tf.experimental.numpy.dot(
    a, b
)
","[[""TensorFlow variant of NumPy's "", 'dot', '.']]",[]
"tf.experimental.numpy.dsplit(
    ary, indices_or_sections
)
","[[""TensorFlow variant of NumPy's "", 'dsplit', '.']]",[]
"tf.experimental.numpy.dstack(
    tup
)
","[[""TensorFlow variant of NumPy's "", 'dstack', '.']]",[]
"tf.experimental.numpy.einsum(
    subscripts, *operands, **kwargs
)
","[[""TensorFlow variant of NumPy's "", 'einsum', '.']]",[]
"tf.experimental.numpy.empty(
    shape, dtype=float
)
","[[""TensorFlow variant of NumPy's "", 'empty', '.']]",[]
"tf.experimental.numpy.empty_like(
    a, dtype=None
)
","[[""TensorFlow variant of NumPy's "", 'empty_like', '.']]",[]
"tf.experimental.numpy.equal(
    x1, x2
)
","[[""TensorFlow variant of NumPy's "", 'equal', '.']]",[]
"tf.experimental.numpy.exp(
    x
)
","[[""TensorFlow variant of NumPy's "", 'exp', '.']]",[]
"tf.experimental.numpy.exp2(
    x
)
","[[""TensorFlow variant of NumPy's "", 'exp2', '.']]",[]
