API,Description,Example,,
"
mxnet.ndarray.contrib.fft(data=None, compute_size=_Null, out=None, name=None, **kwargs)Â¶","['Apply 1D FFT to inputâ\x80\x9d', '\n', '\n', 'Note', '\n', 'fft', '\n', '\n', 'Currently accept 2 input data shapes: (N, d) or (N1, N2, N3, d), data can only be real numbers.\nThe output data has shape: (N, 2*d) or (N1, N2, N3, 2*d). The format is: [real0, imag0, real1, imag1, â\x80¦].', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/fft.cc:L55', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.getnnz(data=None, axis=_Null, out=None, name=None, **kwargs)Â¶","['Number of stored values for a sparse tensor, including explicit zeros.', '\n', 'This operator only supports CSR matrix on CPU.', '\n', 'Defined in src/operator/contrib/nnz.cc:L176', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.gradientmultiplier(data=None, scalar=_Null, is_int=_Null, out=None, name=None, **kwargs)Â¶","['This operator implements the gradient multiplier function.\nIn forward pass it acts as an identity transform. During backpropagation it\nmultiplies the gradient from the subsequent level by a scalar factor lambda and passes it to\nthe preceding layer.', '\n', 'Defined in src/operator/contrib/gradient_multiplier_op.cc:L78', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.group_adagrad_update(weight=None, grad=None, history=None, lr=_Null, rescale_grad=_Null, clip_gradient=_Null, epsilon=_Null, out=None, name=None, **kwargs)Â¶","['Update function for Group AdaGrad optimizer.', '\n', 'Referenced from ', 'Adaptive Subgradient Methods for Online Learning and Stochastic Optimization', ',\nand available at ', 'http://www.jmlr.org/papers/volume12/duchi11a/duchi11a.pdf', ' but\nuses only a single learning rate for every row of the parameter array.', '\n', 'Updates are applied by:', '\n', None, '\n', '\n', 'Weights are updated lazily if the gradient is sparse.', '\n', 'Note that non-zero values for the weight decay option are not supported.', '\n', 'Defined in src/operator/contrib/optimizer_op.cc:L70', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.hawkesll(lda=None, alpha=None, beta=None, state=None, lags=None, marks=None, valid_length=None, max_time=None, out=None, name=None, **kwargs)Â¶","['Computes the log likelihood of a univariate Hawkes process.', '\n', 'The log likelihood is calculated on point process observations represented\nas ', 'ragged', ' matrices for ', 'lags', ' (interarrival times w.r.t. the previous point),\nand ', 'marks', ' (identifiers for the process ID). Note that each mark is considered independent,\ni.e., computes the joint likelihood of a set of Hawkes processes determined by the conditional intensity:', '\n', '\n\\[\\lambda_k^*(t) = \\lambda_k + \\alpha_k \\sum_{\\{t_i < t, y_i = k\\}} \\beta_k \\exp(-\\beta_k (t - t_i))\\]', '\n', 'where ', '\\(\\lambda_k\\)', ' specifies the background intensity ', 'lda', ', ', '\\(\\alpha_k\\)', ' specifies the ', 'branching ratio', ' or ', 'alpha', ', and ', '\\(\\beta_k\\)', ' the delay density parameter ', 'beta', '.', '\n', 'lags', ' and ', 'marks', ' are two NDArrays of shape (N, T) and correspond to the representation of the point process observation, the first dimension corresponds to the batch index, and the second to the sequence. These are â\x80\x9cleft-alignedâ\x80\x9d ', 'ragged', ' matrices (the first index of the second dimension is the beginning of every sequence. The length of each sequence is given by ', 'valid_length', ', of shape (N,) where ', 'valid_length[i]', ' corresponds to the number of valid points in ', 'lags[i,', ' and ', 'marks[i,', '.', '\n', 'max_time', ' is the length of the observation period of the point process. That is, specifying ', 'max_time[i]', ' computes the likelihood of the i-th sample as observed on the time interval ', '\\((0, 5]\\)', '. Naturally, the sum of all valid ', 'lags[i,', ' must be less than or equal to 5.', '\n', 'The input ', 'state', ' specifies the ', 'memory', ' of the Hawkes process. Invoking the memoryless property of exponential decays, we compute the ', 'memory', ' as', '\n', '\n\\[s_k(t) = \\sum_{t_i < t} \\exp(-\\beta_k (t - t_i)).\\]', '\n', 'The ', 'state', ' to be provided is ', '\\(s_k(0)\\)', ' and carries the added intensity due to past events before the current batch. ', '\\(s_k(T)\\)', ' is returned from the function where ', '\\(T\\)', ' is ', 'max_time[T]', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'References:', '\n', '\n', 'Bacry, E., Mastromatteo, I., & Muzy, J. F. (2015).\nHawkes processes in finance. Market Microstructure and Liquidity\n, 1(01), 1550005.', '\n', '\n', 'Defined in src/operator/contrib/hawkes_ll.cc:L83', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.ifft(data=None, compute_size=_Null, out=None, name=None, **kwargs)Â¶","['Apply 1D ifft to inputâ\x80\x9d', '\n', '\n', 'Note', '\n', 'ifft', '\n', '\n', 'Currently accept 2 input data shapes: (N, d) or (N1, N2, N3, d). Data is in format: [real0, imag0, real1, imag1, â\x80¦].\nLast dimension must be an even number.\nThe output data has shape: (N, d/2) or (N1, N2, N3, d/2). It is only the real part of the result.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/ifft.cc:L57', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.index_array(data=None, axes=_Null, out=None, name=None, **kwargs)Â¶","['Returns an array of indexes of the input array.', '\n', 'For an input array with shape  ', '\\((d_1, d_2, ..., d_n)\\)', ', ', 'index_array', ' returns a\n', '\\((d_1, d_2, ..., d_n, n)\\)', ' array ', 'idx', ', where\n', '\\(idx[i_1, i_2, ..., i_n, :] = [i_1, i_2, ..., i_n]\\)', '.', '\n', 'Additionally, when the parameter ', 'axes', ' is specified, ', 'idx', ' will be a\n', '\\((d_1, d_2, ..., d_n, m)\\)', ' array where ', 'm', ' is the length of ', 'axes', ', and the following\nequality will hold: ', '\\(idx[i_1, i_2, ..., i_n, j] = i_{axes[j]}\\)', '.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/index_array.cc:L118', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.index_copy(old_tensor=None, index_vector=None, new_tensor=None, out=None, name=None, **kwargs)Â¶","['Copies the elements of a ', 'new_tensor', ' into the ', 'old_tensor', '.', '\n', 'This operator copies the elements by selecting the indices in the order given in ', 'index', '.\nThe output will be a new tensor containing the rest elements of old tensor and\nthe copied elements of new tensor.\nFor example, if ', 'index[i] == j', ', then the ', 'i', ' th row of ', 'new_tensor', ' is copied to the\n', 'j', ' th row of output.', '\n', 'The ', 'index', ' must be a vector and it must have the same size with the ', '0', ' th dimension of\n', 'new_tensor', '. Also, the ', '0', ' th dimension of old_tensor must ', '>=', ' the ', '0', ' th dimension of\n', 'new_tensor', ', or an error will be raised.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/index_copy.cc:L183', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.interleaved_matmul_encdec_qk(queries=None, keys_values=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nqueries and keys in multihead attention use as encoder-decoder.', '\n', 'the inputs must be a tensor of projections of queries following the layout:\n(seq_length, batch_size, num_heads * head_dim)', '\n', 'and a tensor of interleaved projections of values and keys following the layout:\n(seq_length, batch_size, num_heads * head_dim * 2)', '\n', 'the equivalent code would be:\nq_proj = mx.nd.transpose(queries, axes=(1, 2, 0, 3))\nq_proj = mx.nd.reshape(q_proj, shape=(-1, 0, 0), reverse=True)\nq_proj = mx.nd.contrib.div_sqrt_dim(q_proj)\ntmp = mx.nd.reshape(keys_values, shape=(0, 0, num_heads, 2, -1))\nk_proj = mx.nd.transpose(tmp[:,:,:,0,:], axes=(1, 2, 0, 3))\nk_proj = mx.nd.reshap(k_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(q_proj, k_proj, transpose_b=True)', '\n', 'Defined in src/operator/contrib/transformer.cc:L753', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.interleaved_matmul_encdec_valatt(keys_values=None, attention=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nvalues and the attention weights in multihead attention use as encoder-decoder.', '\n', 'the inputs must be a tensor of interleaved projections of\nkeys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 2)', '\n', 'and the attention weights following the layout:\n(batch_size, seq_length, seq_length)', '\n', 'the equivalent code would be:', '\n', 'tmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nv_proj = mx.nd.transpose(tmp[:,:,:,1,:], axes=(1, 2, 0, 3))\nv_proj = mx.nd.reshape(v_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(attention, v_proj, transpose_b=True)\noutput = mx.nd.reshape(output, shape=(-1, num_heads, 0, 0), reverse=True)\noutput = mx.nd.transpose(output, axes=(0, 2, 1, 3))\noutput = mx.nd.reshape(output, shape=(0, 0, -1))', '\n', 'Defined in src/operator/contrib/transformer.cc:L799', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk(queries_keys_values=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nqueries and keys in multihead attention use as self attention.', '\n', 'the input must be a single tensor of interleaved projections\nof queries, keys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 3)', '\n', 'the equivalent code would be:\ntmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nq_proj = mx.nd.transpose(tmp[:,:,:,0,:], axes=(1, 2, 0, 3))\nq_proj = mx.nd.reshape(q_proj, shape=(-1, 0, 0), reverse=True)\nq_proj = mx.nd.contrib.div_sqrt_dim(q_proj)\nk_proj = mx.nd.transpose(tmp[:,:,:,1,:], axes=(1, 2, 0, 3))\nk_proj = mx.nd.reshap(k_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(q_proj, k_proj, transpose_b=True)', '\n', 'Defined in src/operator/contrib/transformer.cc:L665', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.interleaved_matmul_selfatt_valatt(queries_keys_values=None, attention=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nvalues and the attention weights in multihead attention use as self attention.', '\n', 'the inputs must be a tensor of interleaved projections\nof queries, keys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 3)', '\n', 'and the attention weights following the layout:\n(batch_size, seq_length, seq_length)', '\n', 'the equivalent code would be:\ntmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nv_proj = mx.nd.transpose(tmp[:,:,:,2,:], axes=(1, 2, 0, 3))\nv_proj = mx.nd.reshape(v_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(attention, v_proj, transpose_b=True)\noutput = mx.nd.reshape(output, shape=(-1, num_heads, 0, 0), reverse=True)\noutput = mx.nd.transpose(output, axes=(0, 2, 1, 3))\noutput = mx.nd.reshape(output, shape=(0, 0, -1))', '\n', 'Defined in src/operator/contrib/transformer.cc:L709', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.intgemm_fully_connected(data=None, weight=None, scaling=None, bias=None, num_hidden=_Null, no_bias=_Null, flatten=_Null, out_type=_Null, out=None, name=None, **kwargs)Â¶","['Multiply matrices using 8-bit integers.  data * weight.', '\n', 'Input tensor arguments are: data weight [scaling] [bias]', '\n', 'data: either float32 or prepared using intgemm_prepare_data (in which case it is int8).', '\n', 'weight: must be prepared using intgemm_prepare_weight.', '\n', 'scaling: present if and only if out_type is float32. If so this is multiplied by the result before adding bias. Typically:\nscaling = (max passed to intgemm_prepare_weight)/127.0 if data is in float32\nscaling = (max_passed to intgemm_prepare_data)/127.0 * (max passed to intgemm_prepare_weight)/127.0 if data is in int8', '\n', 'bias: present if and only if !no_bias. This is added to the output after scaling and has the same number of columns as the output.', '\n', 'out_type: type of the output.', '\n', 'Defined in src/operator/contrib/intgemm/intgemm_fully_connected_op.cc:L283', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.intgemm_maxabsolute(data=None, out=None, name=None, **kwargs)Â¶","['Compute the maximum absolute value in a tensor of float32 fast on a CPU.  The tensorâ\x80\x99s total size must be a multiple of 16 and aligned to a multiple of 64 bytes.\nmxnet.nd.contrib.intgemm_maxabsolute(arr) == arr.abs().max()', '\n', 'Defined in src/operator/contrib/intgemm/max_absolute_op.cc:L101', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.intgemm_prepare_data(data=None, maxabs=None, out=None, name=None, **kwargs)Â¶","['This operator converts quantizes float32 to int8 while also banning -128.', '\n', 'It it suitable for preparing an data matrix for use by intgemmâ\x80\x99s C=data * weights operation.', '\n', 'The float32 values are scaled such that maxabs maps to 127. Typically maxabs = maxabsolute(A).', '\n', 'Defined in src/operator/contrib/intgemm/prepare_data_op.cc:L112', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.intgemm_prepare_weight(weight=None, maxabs=None, already_quantized=_Null, out=None, name=None, **kwargs)Â¶","['This operator converts a weight matrix in column-major format to intgemmâ\x80\x99s internal fast representation of weight matrices.  MXNet customarily stores weight matrices in column-major (transposed) format. This operator is not meant to be fast; it is meant to be run offline to quantize a model.', '\n', 'In other words, it prepares weight for the operation C = data * weight^T.', '\n', 'If the provided weight matrix is float32, it will be quantized first.  The quantization function is (int8_t)(127.0 / max * weight) where multiplier is provided as argument 1 (the weight matrix is argument 0).  Then the matrix will be rearranged into the CPU-dependent format.', '\n', 'If the provided weight matrix is already int8, the matrix will only be rearranged into the CPU-dependent format.  This way one can quantize with intgemm_prepare_data (which just quantizes), store to disk in a consistent format, then at load time convert to CPU-dependent format with intgemm_prepare_weight.', '\n', 'The internal representation depends on register length.  So AVX512, AVX2, and SSSE3 have different formats.  AVX512BW and AVX512VNNI have the same representation.', '\n', 'Defined in src/operator/contrib/intgemm/prepare_weight_op.cc:L153', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
