"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.broadcast_power(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns result of first array elements raised to powers from second array, element-wise with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_extended.cc:L44', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_sub(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise difference of the input arrays with broadcasting.', '\n', 'broadcast_minus', ' is an alias to the function ', 'broadcast_sub', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_sub/minus(csr, dense(1D)) = dense\nbroadcast_sub/minus(dense(1D), csr) = dense', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L105', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_to(data=None, shape=_Null, out=None, name=None, **kwargs)Â¶","['Broadcasts the input array to a new shape.', '\n', 'Broadcasting is a mechanism that allows NDArrays to perform arithmetic operations\nwith arrays of different shapes efficiently without creating multiple copies of arrays.\nAlso see, ', 'Broadcasting', ' for more explanation.', '\n', 'Broadcasting is allowed on axes with size 1, such as from ', '(2,1,3,1)', ' to\n', '(2,8,3,9)', '. Elements will be duplicated on the broadcasted axes.', '\n', 'For example:', '\n', None, '\n', '\n', 'The dimension which you do not want to change can also be kept as ', '0', ' which means copy the original value.\nSo with ', 'shape=(2,0)', ', we will obtain the same result as in the above example.', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_value.cc:L116', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cast(data=None, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Casts all elements of the input to a new type.', '\n', '\n', 'Note', '\n', 'Cast', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L664', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cast_storage(data=None, stype=_Null, out=None, name=None, **kwargs)Â¶","['Casts tensor storage type to the new type.', '\n', 'When an NDArray with default storage type is cast to csr or row_sparse storage,\nthe result is compact, which means:', '\n', '\n', 'for csr, zero values will not be retained', '\n', 'for row_sparse, row slices of all zeros will not be retained', '\n', '\n', 'The storage type of ', 'cast_storage', ' output depends on stype parameter:', '\n', '\n', 'cast_storage(csr, â\x80\x98defaultâ\x80\x99) = default', '\n', 'cast_storage(row_sparse, â\x80\x98defaultâ\x80\x99) = default', '\n', 'cast_storage(default, â\x80\x98csrâ\x80\x99) = csr', '\n', 'cast_storage(default, â\x80\x98row_sparseâ\x80\x99) = row_sparse', '\n', 'cast_storage(csr, â\x80\x98csrâ\x80\x99) = csr', '\n', 'cast_storage(row_sparse, â\x80\x98row_sparseâ\x80\x99) = row_sparse', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/cast_storage.cc:L71', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cbrt(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise cube-root value of the input.', '\n', '\n\\[cbrt(x) = \\sqrt[3]{x}\\]', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'cbrt', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_pow.cc:L270', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.ceil(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise ceiling of the input.', '\n', 'The ceil of the scalar x is the smallest integer i, such that i >= x.', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'ceil', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L817', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.choose_element_0index(data=None, index=None, axis=_Null, keepdims=_Null, mode=_Null, out=None, name=None, **kwargs)Â¶","['Picks elements from an input array according to the input indices along the given axis.', '\n', 'Given an input array of shape ', '(d0,', ' and indices of shape ', '(i0,)', ', the result will be\nan output array of shape ', '(i0,)', ' with:', '\n', None, '\n', '\n', 'By default, if any index mentioned is too large, it is replaced by the index that addresses\nthe last element along an axis (the ', 'clip', ' mode).', '\n', 'This function supports n-dimensional input and (n-1)-dimensional indices arrays.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_index.cc:L150', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.clip(data=None, a_min=_Null, a_max=_Null, out=None, name=None, **kwargs)Â¶","['Clips (limits) the values in an array.\nGiven an interval, values outside the interval are clipped to the interval edges.\nClipping ', 'x', ' between ', 'a_min', ' and ', 'a_max', ' would be::\n.. math:', '\n', None, '\n', '\n', '\n', 'Example::', 'x = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]\nclip(x,1,8) = [ 1.,  1.,  2.,  3.,  4.,  5.,  6.,  7.,  8.,  8.]', '\n', '\n', 'The storage type of ', 'clip', ' output depends on storage types of inputs and the a_min, a_max parameter values:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L676', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.col2im(data=None, output_size=_Null, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, out=None, name=None, **kwargs)Â¶","['Combining the output column matrix of im2col back to image array.', '\n', 'Like ', 'im2col', ', this operator is also used in the vanilla convolution\nimplementation. Despite the name, col2im is not the reverse operation of im2col. Since there\nmay be overlaps between neighbouring sliding blocks, the column elements cannot be directly\nput back into image. Instead, they are accumulated (i.e., summed) in the input image\njust like the gradient computation, so col2im is the gradient of im2col and vice versa.', '\n', 'Using the notation in im2col, given an input column array of shape\n', '\\((N, C \\times  \\prod(\\text{kernel}), W)\\)', ', this operator accumulates the column elements\ninto output array of shape ', '\\((N, C, \\text{output_size}[0], \\text{output_size}[1], \\dots)\\)', '.\nOnly 1-D, 2-D and 3-D of spatial dimension is supported in this operator.', '\n', 'Defined in src/operator/nn/im2col.cc:L181', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.concat(*data, **kwargs)Â¶","['Joins input arrays along a given axis.', '\n', '\n', 'Note', '\n', 'Concat', '\n', '\n', 'The dimensions of the input arrays should be the same except the axis along\nwhich they will be concatenated.\nThe dimension of the output array along the concatenated axis will be equal\nto the sum of the corresponding dimensions of the input arrays.', '\n', 'The storage type of ', 'concat', ' output depends on storage types of inputs', '\n', '\n', 'concat(csr, csr, â\x80¦, csr, dim=0) = csr', '\n', 'otherwise, ', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/concat.cc:L384', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cos(data=None, out=None, name=None, **kwargs)Â¶","['Computes the element-wise cosine of the input array.', '\n', 'The input should be in radians (', '\\(2\\pi\\)', ' rad equals 360 degrees).', '\n', '\n\\[cos([0, \\pi/4, \\pi/2]) = [1, 0.707, 0]\\]', '\n', 'The storage type of ', 'cos', ' output is always dense', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L90', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cosh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the hyperbolic cosine  of the input array, computed element-wise.', '\n', '\n\\[cosh(x) = 0.5\\times(exp(x) + exp(-x))\\]', '\n', 'The storage type of ', 'cosh', ' output is always dense', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L409', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.crop(data=None, begin=_Null, end=_Null, step=_Null, out=None, name=None, **kwargs)Â¶","['Slices a region of the array.\n.. note:: ', 'crop', ' is deprecated. Use ', 'slice', ' instead.\nThis function returns a sliced array between the indices given\nby ', 'begin', ' and ', 'end', ' with the corresponding ', 'step', '.\nFor an input array of ', 'shape=(d_0,', ',\nslice operation with ', 'begin=(b_0,', ',\n', 'end=(e_0,', ', and ', 'step=(s_0,', ',\nwhere m <= n, results in an array with the shape\n', '(|e_0-b_0|/|s_0|,', '.\nThe resulting arrayâ\x80\x99s ', 'k', '-th dimension contains elements\nfrom the ', 'k', '-th dimension of the input array starting\nfrom index ', 'b_k', ' (inclusive) with step ', 's_k', '\nuntil reaching ', 'e_k', ' (exclusive).\nIf the ', 'k', '-th elements are ', 'None', ' in the sequence of ', 'begin', ', ', 'end', ',\nand ', 'step', ', the following rule will be used to set default values.\nIf ', 's_k', ' is ', 'None', ', set ', 's_k=1', '. If ', 's_k > 0', ', set ', 'b_k=0', ', ', 'e_k=d_k', ';\nelse, set ', 'b_k=d_k-1', ', ', 'e_k=-1', '.\nThe storage type of ', 'slice', ' output depends on storage types of inputs\n- slice(csr) = csr\n- otherwise, ', 'slice', ' generates output with default storage\n.. note:: When input data storage type is csr, it only supports', '\n', '\n', 'step=(), or step=(None,), or step=(1,) to generate a csr output.\nFor other step parameter values, it falls back to slicing\na dense tensor.', '\n', '\n', 'Example::', '\n', '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L481', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.ctc_loss(data=None, label=None, data_lengths=None, label_lengths=None, use_data_lengths=_Null, use_label_lengths=_Null, blank_label=_Null, out=None, name=None, **kwargs)Â¶","['Connectionist Temporal Classification Loss.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'The shapes of the inputs and outputs:', '\n', '\n', 'data', '\n', 'label', '\n', 'out', '\n', '\n', 'The ', 'data', ' tensor consists of sequences of activation vectors (without applying softmax),\nwith i-th channel in the last dimension corresponding to i-th label\nfor i between 0 and alphabet_size-1 (i.e always 0-indexed).\nAlphabet size should include one additional value reserved for blank label.\nWhen ', 'blank_label', ' is ', '""first""', ', the ', '0', '-th channel is be reserved for\nactivation of blank label, or otherwise if it is â\x80\x9clastâ\x80\x9d, ', '(alphabet_size-1)', '-th channel should be\nreserved for blank label.', '\n', 'label', ' is an index matrix of integers. When ', 'blank_label', ' is ', '""first""', ',\nthe value 0 is then reserved for blank label, and should not be passed in this matrix. Otherwise,\nwhen ', 'blank_label', ' is ', '""last""', ', the value ', '(alphabet_size-1)', ' is reserved for blank label.', '\n', 'If a sequence of labels is shorter than ', 'label_sequence_length', ', use the special\npadding value at the end of the sequence to conform it to the correct\nlength. The padding value is ', '0', ' when ', 'blank_label', ' is ', '""first""', ', and ', '-1', ' otherwise.', '\n', 'For example, suppose the vocabulary is ', '[a, b, c]', ', and in one batch we have three sequences\nâ\x80\x98baâ\x80\x99, â\x80\x98cbbâ\x80\x99, and â\x80\x98abacâ\x80\x99. When ', 'blank_label', ' is ', '""first""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 1, â\x80\x98bâ\x80\x99: 2, â\x80\x98câ\x80\x99: 3}', ', and we reserve the 0-th channel for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'When ', 'blank_label', ' is ', '""last""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 0, â\x80\x98bâ\x80\x99: 1, â\x80\x98câ\x80\x99: 2}', ', and we reserve the channel index 3 for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'out', ' is a list of CTC loss values, one per example in the batch.', '\n', 'See ', 'Connectionist Temporal Classification: Labelling Unsegmented\nSequence Data with Recurrent Neural Networks', ', A. Graves ', 'et al', '. for more\ninformation on the definition and the algorithm.', '\n', 'Defined in src/operator/nn/ctc_loss.cc:L100', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.cumsum(a=None, axis=_Null, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Return the cumulative sum of the elements along a given axis.', '\n', 'Defined in src/operator/numpy/np_cumsum.cc:L70', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.degrees(data=None, out=None, name=None, **kwargs)Â¶","['Converts each element of the input array from radians to degrees.', '\n', '\n\\[degrees([0, \\pi/2, \\pi, 3\\pi/2, 2\\pi]) = [0, 90, 180, 270, 360]\\]', '\n', 'The storage type of ', 'degrees', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L332', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.depth_to_space(data=None, block_size=_Null, out=None, name=None, **kwargs)Â¶","['Rearranges(permutes) data from depth into blocks of spatial data.\nSimilar to ONNX DepthToSpace operator:\n', 'https://github.com/onnx/onnx/blob/master/docs/Operators.md#DepthToSpace', '.\nThe output is a new tensor where the values from depth dimension are moved in spatial blocks\nto height and width dimension. The reverse of this operation is ', 'space_to_depth', '.\n.. math:', '\n', None, '\n', '\n', 'where ', '\\(x\\)', ' is an input tensor with default layout as ', '\\([N, C, H, W]\\)', ': [batch, channels, height, width]\nand ', '\\(y\\)', ' is the output tensor of layout ', '\\([N, C / (block\\_size ^ 2), H * block\\_size, W * block\\_size]\\)', '\nExample:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L971', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.diag(data=None, k=_Null, axis1=_Null, axis2=_Null, out=None, name=None, **kwargs)Â¶","['Extracts a diagonal or constructs a diagonal array.', '\n', 'diag', 'â\x80\x99s behavior depends on the input array dimensions:', '\n', '\n', '1-D arrays: constructs a 2-D array with the input as its diagonal, all other elements are zero.', '\n', 'N-D arrays: extracts the diagonals of the sub-arrays with axes specified by ', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/diag_op.cc:L86', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.dot(lhs=None, rhs=None, transpose_a=_Null, transpose_b=_Null, forward_stype=_Null, out=None, name=None, **kwargs)Â¶","['Dot product of two arrays.', '\n', 'dot', 'â\x80\x99s behavior depends on the input array dimensions:', '\n', '\n', '1-D arrays: inner product of vectors', '\n', '2-D arrays: matrix multiplication', '\n', 'N-D arrays: a sum product over the last axis of the first input and the first\naxis of the second input', '\n', '\n', 'The storage type of ', 'dot', ' output depends on storage types of inputs, transpose option and\nforward_stype option for output storage type. Implemented sparse operations include:', '\n', '\n', 'dot(default, default, transpose_a=True/False, transpose_b=True/False) = default', '\n', 'dot(csr, default, transpose_a=True) = default', '\n', 'dot(csr, default, transpose_a=True) = row_sparse', '\n', 'dot(csr, default) = default', '\n', 'dot(csr, row_sparse) = default', '\n', 'dot(default, csr) = csr (CPU only)', '\n', 'dot(default, csr, forward_stype=â\x80\x99defaultâ\x80\x99) = default', '\n', 'dot(default, csr, transpose_b=True, forward_stype=â\x80\x99defaultâ\x80\x99) = default', '\n', '\n', 'If the combination of input storage types and forward_stype does not match any of the\nabove patterns, ', 'dot', ' will fallback and generate output with default storage.', '\n', '\n', 'Note', '\n', 'If the storage type of the lhs is â\x80\x9ccsrâ\x80\x9d, the storage type of gradient w.r.t rhs will be\nâ\x80\x9crow_sparseâ\x80\x9d. Only a subset of optimizers support sparse gradients, including SGD, AdaGrad\nand Adam. Note that by default lazy updates is turned on, which may perform differently\nfrom standard updates. For more details, please check the Optimization API at:\n', '\n', '\n', 'Defined in src/operator/tensor/dot.cc:L77', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
