API,Description,Example1,Example2,,
"
 torch. nanmedian ( input )   → ¶","Returns the median of the values in  input , ignoring  NaN  values. This function is identical to  torch.median()  when there are no  NaN  values in  input .
When  input  has one or more  NaN  values,  torch.median()  will always return  NaN ,
while this function will return the median of the non- NaN  elements in  input .
If all the elements in  input  are  NaN  it will also return  NaN . 
 Parameters 
 input 
 Example: 
 
 
 
 Returns a namedtuple  (values,  where  values  contains the median of each row of  input 
in the dimension  dim , ignoring  NaN  values, and  indices  contains the index of the median values
found in the dimension  dim . This function is identical to  torch.median()  when there are no  NaN  values in a reduced row. When a reduced row has
one or more  NaN  values,  torch.median()  will always reduce it to  NaN , while this function will reduce it to the
median of the non- NaN  elements. If all the elements in a reduced row are  NaN  then it will be reduced to  NaN , too. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([1,float('nan'),3,2])
>>> a.median()
tensor(nan)
>>> a.nanmedian()
tensor(2.)
",">>> a=torch.tensor([[2,3,1],[float('nan'),1,float('nan')]])
>>> a
tensor([[2., 3., 1.],
        [nan, 1., nan]])
>>> a.median(0)
torch.return_types.median(values=tensor([nan, 1., nan]), indices=tensor([1, 1, 1]))
>>> a.nanmedian(0)
torch.return_types.nanmedian(values=tensor([2., 1., 1.]), indices=tensor([0, 1, 0]))
",,
"
 torch. mode ( input ,  dim ,  keepdim ,  * ,  out ) ¶","Returns a namedtuple  (values,  where  values  is the mode
value of each row of the  input  tensor in the given dimension
 dim , i.e. a value which appears most often
in that row, and  indices  is the index location of each mode value found. By default,  dim  is the last dimension of the  input  tensor. If  keepdim  is  True , the output tensors are of the same size as
 input  except in the dimension  dim  where they are of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting
in the output tensors having 1 fewer dimension than  input . 
 Note 
 This function is not defined for  
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randint(10,(5,))
>>> a
tensor([6, 5, 1, 0, 2])
>>> b=a+(torch.randn(50,1)*5).long()
>>> torch.mode(b,0)
torch.return_types.mode(values=tensor([6, 5, 1, 0, 2]), indices=tensor([2, 2, 2, 2, 2]))
",,,
"
 torch. norm ( input ,  p ,  dim ,  keepdim ,  out ,  dtype ) [source] ¶","Returns the matrix norm or vector norm of a given tensor. 
 Warning 
 torch.norm is deprecated and may be removed in a future PyTorch release.
Its documentation and behavior may be incorrect, and it is no longer
actively maintained. 
 Use  
 
 Parameters 
 
 
 
 Note 
 Even though  
 Example: 
",">>> importtorch
>>> a=torch.arange(9,dtype=torch.float)-4
>>> b=a.reshape((3,3))
>>> torch.norm(a)
tensor(7.7460)
>>> torch.norm(b)
tensor(7.7460)
>>> torch.norm(a,float('inf'))
tensor(4.)
>>> torch.norm(b,float('inf'))
tensor(4.)
>>> c=torch.tensor([[1,2,3],[-1,1,4]],dtype=torch.float)
>>> torch.norm(c,dim=0)
tensor([1.4142, 2.2361, 5.0000])
>>> torch.norm(c,dim=1)
tensor([3.7417, 4.2426])
>>> torch.norm(c,p=1,dim=1)
tensor([6., 6.])
>>> d=torch.arange(8,dtype=torch.float).reshape(2,2,2)
>>> torch.norm(d,dim=(1,2))
tensor([ 3.7417, 11.2250])
>>> torch.norm(d[0,:,:]),torch.norm(d[1,:,:])
(tensor(3.7417), tensor(11.2250))
",,,
"
 torch. nansum ( input ,  * ,  dtype )   → ¶","Returns the sum of all elements, treating Not a Numbers (NaNs) as zero. 
 Parameters 
 input 
 Keyword Arguments 
 dtype 
 Example: 
 
 
 
 Returns the sum of each row of the  input  tensor in the given
dimension  dim , treating Not a Numbers (NaNs) as zero.
If  dim  is a list of dimensions, reduce over all of them. If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 dtype 
 Example: 
",">>> a=torch.tensor([1.,2.,float('nan'),4.])
>>> torch.nansum(a)
tensor(7.)
",">>> torch.nansum(torch.tensor([1.,float(""nan"")]))
1.0
>>> a=torch.tensor([[1,2],[3.,float(""nan"")]])
>>> torch.nansum(a)
tensor(6.)
>>> torch.nansum(a,dim=0)
tensor([4., 2.])
>>> torch.nansum(a,dim=1)
tensor([3., 3.])
",,
"
 torch. prod ( input ,  * ,  dtype )   → ¶","Returns the product of all elements in the  input  tensor. 
 Parameters 
 input 
 Keyword Arguments 
 dtype 
 Example: 
 
 
 
 Returns the product of each row of the  input  tensor in the given
dimension  dim . If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in
the output tensor having 1 fewer dimension than  input . 
 Parameters 
 
 
 Keyword Arguments 
 dtype 
 Example: 
",">>> a=torch.randn(1,3)
>>> a
tensor([[-0.8020,  0.5428, -1.5854]])
>>> torch.prod(a)
tensor(0.6902)
",">>> a=torch.randn(4,2)
>>> a
tensor([[ 0.5261, -0.3837],
        [ 1.1857, -0.2498],
        [-1.1646,  0.0705],
        [ 1.1131, -1.0629]])
>>> torch.prod(a,1)
tensor([-0.2018, -0.2962, -0.0821, -1.1831])
",,
"
 torch. quantile ( input ,  q ,  dim ,  keepdim ,  * ,  interpolation ,  out )   → ¶","Computes the q-th quantiles of each row of the  input  tensor along the dimension  dim . To compute the quantile, we map q in [0, 1] to the range of indices [0, n] to find the location
of the quantile in the sorted input. If the quantile lies between two data points  a  with
indices  i  and  j  in the sorted order, result is computed according to the given
 interpolation  method as follows: 
 linear 
 lower 
 higher 
 nearest 
 midpoint 
 If  q  is a 1D tensor, the first dimension of the output represents the quantiles and has size
equal to the size of  q , the remaining dimensions are what remains from the reduction. 
 Note 
 By default  
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> a=torch.randn(2,3)
>>> a
tensor([[ 0.0795, -1.2117,  0.9765],
        [ 1.1707,  0.6706,  0.4884]])
>>> q=torch.tensor([0.25,0.5,0.75])
>>> torch.quantile(a,q,dim=1,keepdim=True)
tensor([[[-0.5661],
        [ 0.5795]],        [[ 0.0795],
        [ 0.6706]],        [[ 0.5280],
        [ 0.9206]]])
>>> torch.quantile(a,q,dim=1,keepdim=True).shape
torch.Size([3, 2, 1])
>>> a=torch.arange(4.)
>>> a
tensor([0., 1., 2., 3.])
>>> torch.quantile(a,0.6,interpolation='linear')
tensor(1.8000)
>>> torch.quantile(a,0.6,interpolation='lower')
tensor(1.)
>>> torch.quantile(a,0.6,interpolation='higher')
tensor(2.)
>>> torch.quantile(a,0.6,interpolation='midpoint')
tensor(1.5000)
>>> torch.quantile(a,0.6,interpolation='nearest')
tensor(2.)
>>> torch.quantile(a,0.4,interpolation='nearest')
tensor(1.)
",,,
"
 torch. nanquantile ( input ,  q ,  dim ,  keepdim ,  * ,  interpolation ,  out )   → ¶","This is a variant of  torch.quantile()  that “ignores”  NaN  values,
computing the quantiles  q  as if  NaN  values in  input  did
not exist. If all values in a reduced row are  NaN  then the quantiles for
that reduction will be  NaN . See the documentation for  torch.quantile() . 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> t=torch.tensor([float('nan'),1,2])
>>> t.quantile(0.5)
tensor(nan)
>>> t.nanquantile(0.5)
tensor(1.5000)
>>> t=torch.tensor([[float('nan'),float('nan')],[1,2]])
>>> t
tensor([[nan, nan],
        [1., 2.]])
>>> t.nanquantile(0.5,dim=0)
tensor([1., 2.])
>>> t.nanquantile(0.5,dim=1)
tensor([   nan, 1.5000])
",,,
"
 torch. std ( input ,  dim ,  unbiased ,  keepdim ,  * ,  out )   → ¶","If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample deviation is calculated, without any correction. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 
 
 
 Calculates the standard deviation of all elements in the  input  tensor. If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample deviation is calculated, without any correction. 
 Parameters 
 
 
 Example: 
",">>> a=torch.tensor([[-0.8166,-1.3802,-0.3560]])
>>> torch.std(a,unbiased=False)
tensor(0.4188)
",,,
"
 torch. std_mean ( input ,  dim ,  unbiased ,  keepdim ,  * ,  out ) ¶","If  unbiased  is  True , Bessel’s correction will be used to calculate
the standard deviation. Otherwise, the sample deviation is calculated, without
any correction. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Returns 
 A tuple (std, mean) containing the standard deviation and mean. 
 
 
 
 Calculates the standard deviation and mean of all elements in the  input 
tensor. If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample deviation is calculated, without any correction. 
 Parameters 
 
 
 Returns 
 A tuple (std, mean) containing the standard deviation and mean. 
 Example: 
",">>> a=torch.tensor([[-0.8166,-1.3802,-0.3560]])
>>> torch.std_mean(a,unbiased=False)
(tensor(0.4188), tensor(-0.8509))
",,,
"
 torch. sum ( input ,  * ,  dtype )   → ¶","Returns the sum of all elements in the  input  tensor. 
 Parameters 
 input 
 Keyword Arguments 
 dtype 
 Example: 
 
 
 
 Returns the sum of each row of the  input  tensor in the given
dimension  dim . If  dim  is a list of dimensions,
reduce over all of them. If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 dtype 
 Example: 
",">>> a=torch.randn(1,3)
>>> a
tensor([[ 0.1133, -0.9567,  0.2958]])
>>> torch.sum(a)
tensor(-0.5475)
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 0.0569, -0.2475,  0.0737, -0.3429],
        [-0.2993,  0.9138,  0.9337, -1.6864],
        [ 0.1132,  0.7892, -0.1003,  0.5688],
        [ 0.3637, -0.9906, -0.4752, -1.5197]])
>>> torch.sum(a,1)
tensor([-0.4598, -0.1381,  1.3708, -2.6217])
>>> b=torch.arange(4*5*6).view(4,5,6)
>>> torch.sum(b,(2,1))
tensor([  435.,  1335.,  2235.,  3135.])
",,
"
 torch. unique ( input ,  sorted ,  return_inverse ,  return_counts ,  dim )   → ¶","Returns the unique elements of the input tensor. 
 Note 
 This function is different from  
 
 Note 
 Currently in the CUDA implementation and the CPU implementation when dim is specified,
 
 
 Parameters 
 
 
 Returns 
 A tensor or a tuple of tensors containing 
 Return type 
 ( 
 Example: 
",">>> output=torch.unique(torch.tensor([1,3,2,3],dtype=torch.long))
>>> output
tensor([1, 2, 3])>>> output,inverse_indices=torch.unique(
... torch.tensor([1,3,2,3],dtype=torch.long),sorted=True,return_inverse=True)
>>> output
tensor([1, 2, 3])
>>> inverse_indices
tensor([0, 2, 1, 2])>>> output,inverse_indices=torch.unique(
... torch.tensor([[1,3],[2,3]],dtype=torch.long),sorted=True,return_inverse=True)
>>> output
tensor([1, 2, 3])
>>> inverse_indices
tensor([[0, 2],
        [1, 2]])
",,,
"
 torch. unique_consecutive ( * ,  ** ) ¶","Eliminates all but the first element from every consecutive group of equivalent elements. 
 Note 
 This function is different from  
 
 Parameters 
 
 
 Returns 
 A tensor or a tuple of tensors containing 
 Return type 
 ( 
 Example: 
",">>> x=torch.tensor([1,1,2,2,3,1,1,2])
>>> output=torch.unique_consecutive(x)
>>> output
tensor([1, 2, 3, 1, 2])>>> output,inverse_indices=torch.unique_consecutive(x,return_inverse=True)
>>> output
tensor([1, 2, 3, 1, 2])
>>> inverse_indices
tensor([0, 0, 1, 1, 2, 3, 3, 4])>>> output,counts=torch.unique_consecutive(x,return_counts=True)
>>> output
tensor([1, 2, 3, 1, 2])
>>> counts
tensor([2, 2, 1, 2, 1])
",,,
"
 torch. var ( input ,  dim ,  unbiased ,  keepdim ,  * ,  out )   → ¶","If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample variance is calculated, without any correction. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 
 
 
 Calculates the variance of all elements in the  input  tensor. If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample deviation is calculated, without any correction. 
 Parameters 
 
 
 Example: 
",">>> a=torch.tensor([[-0.8166,-1.3802,-0.3560]])
>>> torch.var(a,unbiased=False)
tensor(0.1754)
",,,
"
 torch. var_mean ( input ,  dim ,  unbiased ,  keepdim ,  * ,  out ) ¶","If  unbiased  is  True , Bessel’s correction will be used to calculate
the variance. Otherwise, the sample variance is calculated, without any
correction. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Returns 
 A tuple (var, mean) containing the variance and mean. 
 
 
 
 Calculates the variance and mean of all elements in the  input 
tensor. If  unbiased  is  True , Bessel’s correction will be used.
Otherwise, the sample deviation is calculated, without any correction. 
 Parameters 
 
 
 Returns 
 A tuple (var, mean) containing the variance and mean. 
 Example: 
",">>> a=torch.tensor([[-0.8166,-1.3802,-0.3560]])
>>> torch.var_mean(a,unbiased=False)
(tensor(0.1754), tensor(-0.8509))
",,,
"
 torch. count_nonzero ( input ,  dim )   → ¶","Counts the number of non-zero values in the tensor  input  along the given  dim .
If no dim is specified then all non-zeros in the tensor are counted. 
 Parameters 
 
 
 Example: 
",">>> x=torch.zeros(3,3)
>>> x[torch.randn(3,3)>0.5]=1
>>> x
tensor([[0., 1., 1.],
        [0., 0., 0.],
        [0., 0., 1.]])
>>> torch.count_nonzero(x)
tensor(3)
>>> torch.count_nonzero(x,dim=0)
tensor([0, 1, 2])
",,,
"
 torch. allclose ( input ,  other ,  rtol ,  atol ,  equal_nan )   → ¶","This function checks if all  input  and  other  satisfy the condition: 
 ∣ elementwise, for all elements of  input  and  other . The behaviour of this function is analogous to
 numpy.allclose 
 Parameters 
 
 
 Example: 
",">>> torch.allclose(torch.tensor([10000.,1e-07]),torch.tensor([10000.1,1e-08]))
False
>>> torch.allclose(torch.tensor([10000.,1e-08]),torch.tensor([10000.1,1e-09]))
True
>>> torch.allclose(torch.tensor([1.0,float('nan')]),torch.tensor([1.0,float('nan')]))
False
>>> torch.allclose(torch.tensor([1.0,float('nan')]),torch.tensor([1.0,float('nan')]),equal_nan=True)
True
",,,
"
 torch. argsort ( input ,  dim ,  descending ,  stable )   → ¶","Returns the indices that sort a tensor along a given dimension in ascending
order by value. This is the second value returned by  torch.sort() .  See its documentation
for the exact semantics of this method. If  stable  is  True  then the sorting routine becomes stable, preserving
the order of equivalent elements. If  False , the relative order of values
which compare equal is not guaranteed.  True  is slower. 
 Parameters 
 
 
 Example: 
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 0.0785,  1.5267, -0.8521,  0.4065],
        [ 0.1598,  0.0788, -0.0745, -1.2700],
        [ 1.2208,  1.0722, -0.7064,  1.2564],
        [ 0.0669, -0.2318, -0.8229, -0.9280]])>>> torch.argsort(a,dim=1)
tensor([[2, 0, 3, 1],
        [3, 2, 1, 0],
        [2, 1, 0, 3],
        [3, 2, 1, 0]])
",,,
"
 torch. eq ( input ,  other ,  * ,  out )   → ¶","Computes element-wise equality The second argument can be a number or a tensor whose shape is
 broadcastable  with the first argument. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Returns 
 A boolean tensor that is True where  
 Example: 
",">>> torch.eq(torch.tensor([[1,2],[3,4]]),torch.tensor([[1,1],[4,4]]))
tensor([[ True, False],
        [False, True]])
",,,
"
 torch. equal ( input ,  other )   → ¶","True  if two tensors have the same size and elements,  False  otherwise. Example: 
",">>> torch.equal(torch.tensor([1,2]),torch.tensor([1,2]))
True
",,,
"
 torch. ge ( input ,  other ,  * ,  out )   → ¶","Computes  input  element-wise. The second argument can be a number or a tensor whose shape is
 broadcastable  with the first argument. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Returns 
 A boolean tensor that is True where  
 Example: 
",">>> torch.ge(torch.tensor([[1,2],[3,4]]),torch.tensor([[1,1],[4,4]]))
tensor([[True, True], [False, True]])
",,,
"
 torch. greater_equal ( input ,  other ,  * ,  out )   → ¶",Alias for  torch.ge() .,,,,
"
 torch. gt ( input ,  other ,  * ,  out )   → ¶","Computes  input  element-wise. The second argument can be a number or a tensor whose shape is
 broadcastable  with the first argument. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Returns 
 A boolean tensor that is True where  
 Example: 
",">>> torch.gt(torch.tensor([[1,2],[3,4]]),torch.tensor([[1,1],[4,4]]))
tensor([[False, True], [False, False]])
",,,
"
 torch. greater ( input ,  other ,  * ,  out )   → ¶",Alias for  torch.gt() .,,,,
"
 torch. isclose ( input ,  other ,  rtol ,  atol ,  equal_nan )   → ¶","Returns a new tensor with boolean elements representing if each element of
 input  is “close” to the corresponding element of  other .
Closeness is defined as: 
 ∣ where  input  and  other  are finite. Where  input 
and/or  other  are nonfinite they are close if and only if
they are equal, with NaNs being considered equal to each other when
 equal_nan  is True. 
 Parameters 
 
 
 Examples: 
",">>> torch.isclose(torch.tensor((1.,2,3)),torch.tensor((1+1e-10,3,4)))
tensor([ True, False, False])
>>> torch.isclose(torch.tensor((float('inf'),4)),torch.tensor((float('inf'),6)),rtol=.5)
tensor([True, True])
",,,
"
 torch. isfinite ( input )   → ¶","Returns a new tensor with boolean elements representing if each element is  finite  or not. Real values are finite when they are not NaN, negative infinity, or infinity.
Complex values are finite when both their real and imaginary parts are finite. 
 Parameters 
 input 
 Returns 
 A boolean tensor that is True where  
 Example: 
",">>> torch.isfinite(torch.tensor([1,float('inf'),2,float('-inf'),float('nan')]))
tensor([True,  False,  True,  False,  False])
",,,
"
 torch. isin ( elements ,  test_elements ,  * ,  assume_unique ,  invert )   → ¶","Tests if each element of  elements  is in  test_elements . Returns
a boolean tensor of the same shape as  elements  that is True for elements
in  test_elements  and False otherwise. 
 Note 
 One of  
 
 Parameters 
 
 
 Returns 
 A boolean tensor of the same shape as  
 Example 
",,,,
"
 torch. isinf ( input )   → ¶","Tests if each element of  input  is infinite
(positive or negative infinity) or not. 
 Note 
 Complex values are infinite when their real or imaginary part is
infinite. 
 
 Parameters 
 input 
 Returns 
 A boolean tensor that is True where  
 Example: 
",">>> torch.isinf(torch.tensor([1,float('inf'),2,float('-inf'),float('nan')]))
tensor([False,  True,  False,  True,  False])
",,,
